Name,Disaster,Begin Date,End Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,Year 
Southeastern Severe Storms (March 2018),Severe Storm,3/18/2018,3/21/2018,1310,3,2018
Northeast Winter Storm (March 2018),Winter Storm,3/1/2018,3/3/2018,1770,9,2018
Central and Eastern Winter Storm (January 2018),Winter Storm,1/3/2018,1/5/2018,1043,22,2018
"Western Wildfires, California Firestorm (Summer-Fall 2017)",Wildfire,6/1/2017,12/31/2017,18185.1,54,2017
"North Dakota, South Dakota and Montana Drought (Spring-Fall 2017)",Drought,3/1/2017,12/31/2017,2525,0,2017
Hurricane Maria (September 2017),Tropical Cyclone,9/19/2017,9/21/2017,90900,65,2017
Hurricane Irma (September 2017),Tropical Cyclone,9/6/2017,9/12/2017,50474.8,97,2017
Hurricane Harvey (August 2017),Tropical Cyclone,8/25/2017,8/31/2017,126250,89,2017
Midwest Severe Weather (June 2017),Severe Storm,6/27/2017,6/29/2017,1439.3,0,2017
Midwest Severe Weather (June 2017),Severe Storm,6/12/2017,6/16/2017,1554.4,0,2017
Minnesota Hail Storm and Upper Midwest Severe Weather (June 2017),Severe Storm,6/9/2017,6/11/2017,2420.5,0,2017
Colorado Hail Storm and Central Severe Weather (May 2017),Severe Storm,5/8/2017,5/11/2017,3450.5,0,2017
Missouri and Arkansas Flooding and Central Severe Weather (May 2017),Flooding,4/25/2017,5/7/2017,1708.9,20,2017
South/Southeast Severe Weather (March 2017),Severe Storm,3/26/2017,3/28/2017,2775.9,0,2017
Southeast Freeze (March 2017),Freeze,3/14/2017,3/16/2017,1030,0,2017
Midwest Tornado Outbreak (March 2017),Severe Storm,3/6/2017,3/8/2017,2241.5,2,2017
Central/Southeast Tornado Outbreak (March 2017),Severe Storm,2/28/2017,3/1/2017,1860.3,6,2017
California Flooding (February 2017),Flooding,2/8/2017,2/22/2017,1545,5,2017
Southern Tornado Outbreak and Western Storms (January 2017),Severe Storm,1/20/2017,1/22/2017,1138.3,24,2017
Western/Southeast Wildfires (Summer-Fall 2016),Wildfire,6/1/2016,12/31/2016,2515,21,2016
West/Northeast/Southeast Drought (2016),Drought,1/1/2016,12/31/2016,3626,0,2016
Hurricane Matthew (October 2016),Tropical Cyclone,10/8/2016,10/12/2016,10500,49,2016
Louisiana Flooding (August 2016),Flooding,8/12/2016,8/15/2016,10500,13,2016
Rockies and Northeast Severe Weather (July 2016),Severe Storm,7/28/2016,7/30/2016,1538.9,0,2016
West Virginia Flooding and Ohio Valley Tornadoes (June 2016),Flooding,6/22/2016,6/24/2016,1017.2,23,2016
Rockies/Central Tornadoes and Severe Weather (May 2016),Severe Storm,5/21/2016,5/26/2016,1203.6,0,2016
Plains Tornadoes and Central Severe Weather (May 2016),Severe Storm,5/8/2016,5/11/2016,1805.6,2,2016
South/Southeast Tornadoes (April 2016),Severe Storm,4/26/2016,5/2/2016,2514.2,6,2016
Houston Flooding (April 2016),Flooding,4/17/2016,4/18/2016,2809.8,8,2016
North/Central Texas Hail Storm (April 2016),Severe Storm,4/10/2016,4/12/2016,3673.6,0,2016
North Texas Hail Storm (March 2016),Severe Storm,3/23/2016,3/24/2016,2168,0,2016
Southern Severe Weather (March 2016),Severe Storm,3/17/2016,3/18/2016,1270.8,1,2016
Texas and Louisiana Flooding (March 2016),Flooding,3/8/2016,3/12/2016,2409.6,5,2016
Southeast and Eastern Tornadoes (February 2016),Severe Storm,2/22/2016,2/24/2016,1092.2,10,2016
Western Drought (2015),Drought,1/1/2015,12/31/2015,4778.8,0,2015
Texas Tornadoes and Midwest Flooding (December 2015),Severe Storm,12/26/2015,12/29/2015,2099.2,50,2015
Western and Alaskan Wildfires (Summer-Fall 2015),Wildfire,6/1/2015,11/30/2015,3218.5,12,2015
South Carolina and East Coast Flooding (October 2015),Flooding,10/1/2015,10/5/2015,2137.9,25,2015
Central and Northeast Severe Weather (June 2015),Severe Storm,6/21/2015,6/25/2015,1254.1,1,2015
Texas and Oklahoma Flooding and Severe Weather (May 2015),Flooding,5/23/2015,5/26/2015,2675.3,31,2015
Southern Plains Tornadoes (May 2015),Severe Storm,5/6/2015,5/10/2015,1361.1,4,2015
South/Southeast Severe Weather (April 2015),Severe Storm,4/18/2015,4/20/2015,1373.8,0,2015
Midwest/Ohio Valley Severe Weather (April 2015),Severe Storm,4/7/2015,4/9/2015,1664.4,2,2015
"Central and Eastern Winter storm, Cold Wave (February 2015)",Winter Storm,2/14/2015,2/20/2015,3169.7,30,2015
Western Drought (2014),Drought,1/1/2014,12/31/2014,4208.4,0,2014
Rockies/Plains Severe Weather (September 2014),Severe Storm,9/29/2014,10/2/2014,1484.5,0,2014
Michigan and Northeast Flooding (August 2014),Flooding,8/11/2014,8/13/2014,1093.6,2,2014
Rockies/Central Plains Severe Weather (June 2014),Severe Storm,6/3/2014,6/5/2014,2034.3,2,2014
Rockies/Midwest/Eastern Severe Weather (May 2014),Severe Storm,5/18/2014,5/23/2014,3936,0,2014
Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014),Severe Storm,4/27/2014,5/1/2014,1840.4,33,2014
